year, month, day, hour, minute, second, lon, lat, depth, mag
1848, 11, 15, 2, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 11, 16, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 11, 18, 3, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 11, 29, 2, 0, 0.000, 175.0000, -41.0000, 25.00, 5.500
1848, 11, 30, 5, 0, 0.000, 174.0000, -41.0000, 25.00, 4.500
1848, 12, 4, 20, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1849, 1, 16, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1849, 1, 19, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1849, 1, 20, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1849, 1, 24, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1849, 1, 24, 12, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
1849, 2, 23, 18, 0, 0.000, 175.0000, -40.0000, 25.00, 5.500
1849, 2, 24, 2, 40, 0.000, 175.0000, -41.0000, 25.00, 4.500
1849, 2, 24, 4, 45, 0.000, 175.0000, -41.0000, 25.00, 4.500
1849, 5, 5, 1, 35, 0.000, 175.0000, -41.0000, 25.00, 5.500
1849, 5, 5, 4, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1849, 5, 13, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1849, 7, 5, 17, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
