year, month, day, hour, minute, second, lon, lat, depth, mag
1950, 2, 28, 18, 58, 41.000, 176.9200, -38.8600, 60.00, 5.518
1950, 3, 13, 9, 38, 26.000, 174.0000, -40.5400, 70.00, 5.275
1950, 4, 1, 19, 52, 30.000, 175.9100, -40.5300, 102.00, 3.258
1950, 4, 7, 4, 59, 5.000, 173.6100, -40.2800, 175.00, 3.696
1950, 4, 7, 13, 59, 10.000, 176.9400, -39.8300, 97.00, 4.391
1950, 4, 20, 15, 9, 59.000, 171.8900, -41.4200, 112.00, 3.234
1950, 4, 27, 9, 53, 42.000, 178.8800, -37.1800, 106.00, 4.217
1950, 5, 4, 11, 38, 12.000, 176.4400, -37.9100, 183.00, 4.493
1950, 6, 16, 20, 53, 0.000, 173.1900, -41.2700, 90.00, 4.510
1950, 6, 17, 15, 56, 33.000, 175.2500, -38.9200, 185.00, 5.330
1950, 6, 25, 4, 22, 16.000, 176.1500, -38.7300, 168.00, 3.662
1950, 7, 4, 22, 1, 7.000, 173.9200, -39.9300, 128.00, 3.196
1950, 7, 21, 4, 46, 55.000, 174.1900, -39.7300, 207.00, 4.894
1950, 8, 12, 0, 43, 37.000, 177.2500, -36.9800, 253.00, 3.918
1950, 8, 31, 22, 49, 8.000, 178.2800, -38.3000, 84.00, 4.371
1950, 9, 18, 19, 15, 42.000, 172.7400, -41.4400, 147.00, 3.354
1950, 9, 26, 13, 24, 8.000, 174.2300, -39.6100, 239.00, 3.951
1950, 11, 10, 8, 30, 33.000, 177.7500, -38.2700, 125.00, 4.172
1950, 11, 11, 8, 36, 39.000, 173.2900, -40.3500, 149.00, 3.860
1950, 11, 25, 19, 32, 22.000, 173.0400, -40.5800, 158.00, 4.042
1950, 12, 1, 19, 16, 23.000, 172.6400, -41.3100, 158.00, 3.532
1950, 12, 4, 16, 54, 20.000, 167.9600, -44.9200, 175.00, 5.244
1950, 12, 10, 15, 50, 10.000, 175.8400, -38.5300, 167.00, 4.225
1950, 12, 16, 9, 54, 30.000, 175.1000, -40.6000, 72.00, 4.145
1951, 1, 28, 19, 58, 33.000, 172.8000, -41.3500, 129.00, 3.499
1951, 2, 1, 1, 39, 41.000, 174.5100, -39.2100, 149.00, 3.452
1951, 2, 13, 19, 9, 15.000, 173.5400, -40.7700, 69.00, 3.540
1951, 2, 24, 23, 44, 31.000, 176.8500, -37.9800, 123.00, 4.737
1951, 2, 26, 20, 19, 23.000, 172.9500, -41.2600, 150.00, 3.347
1951, 3, 9, 7, 4, 0.000, 175.5900, -38.3600, 158.00, 4.042
1951, 3, 28, 1, 55, 13.000, 176.9771, -37.0558, 394.15, 5.398
1951, 3, 31, 8, 34, 49.000, 173.1400, -41.3300, 108.00, 3.447
1951, 4, 23, 6, 50, 19.000, 177.8400, -37.5300, 80.00, 5.908
1951, 4, 24, 8, 42, 16.000, 174.2700, -40.6400, 80.00, 3.310
1951, 4, 30, 15, 38, 4.000, 176.5500, -38.1400, 238.00, 3.954
1951, 5, 4, 21, 15, 46.000, 175.5700, -38.7300, 166.00, 3.717
1951, 5, 31, 6, 59, 7.000, 173.3700, -40.5600, 190.00, 3.762
1951, 6, 6, 15, 50, 56.000, 175.2200, -39.2300, 60.00, 3.511
1951, 6, 15, 6, 38, 24.000, 178.4300, -36.7400, 131.00, 4.106
1951, 6, 20, 3, 38, 8.000, 175.8800, -38.6300, 141.00, 4.083
1951, 7, 2, 0, 38, 18.000, 173.9200, -40.3200, 100.00, 3.364
1951, 7, 10, 3, 5, 25.000, 176.1900, -37.7700, 200.00, 4.554
1951, 7, 20, 10, 5, 2.000, 176.5300, -36.9800, 288.00, 4.141
1951, 7, 26, 6, 47, 16.000, 173.8000, -40.6900, 107.00, 3.348
1951, 8, 4, 9, 45, 7.000, 176.0900, -37.5000, 292.00, 3.519
1951, 8, 4, 13, 15, 57.000, 173.0900, -41.4100, 83.00, 4.119
1951, 8, 5, 2, 53, 31.000, 175.6200, -39.3000, 98.00, 3.930
1951, 8, 12, 16, 6, 41.000, 174.0300, -39.7200, 248.00, 3.522
1951, 8, 19, 0, 4, 39.000, 173.5400, -40.8100, 121.00, 4.130
1951, 8, 23, 13, 42, 38.000, 178.6100, -36.2000, 254.00, 4.630
1951, 8, 24, 18, 28, 21.000, 175.2300, -39.4900, 98.00, 3.573
1951, 8, 30, 13, 13, 38.000, 172.4800, -42.0700, 133.00, 3.286
1951, 8, 30, 13, 37, 50.000, 172.5700, -42.1400, 122.00, 3.618
1951, 9, 4, 23, 23, 10.000, 175.4400, -38.7100, 174.00, 4.871
1951, 9, 11, 21, 26, 35.000, 177.6200, -38.8300, 71.00, 4.198
1951, 9, 13, 8, 43, 36.000, 176.2700, -39.2300, 116.00, 3.887
1951, 9, 14, 4, 47, 22.000, 174.0200, -39.7400, 229.00, 3.771
1951, 9, 30, 0, 3, 45.000, 174.7300, -39.2700, 221.00, 4.351
1951, 10, 1, 15, 30, 0.000, 176.7400, -38.3300, 210.00, 3.969
1951, 10, 13, 2, 54, 3.000, 173.3700, -41.4400, 76.00, 3.421
1951, 10, 23, 12, 52, 28.000, 178.2500, -35.5600, 214.00, 4.368
1951, 10, 24, 3, 24, 47.000, 173.9600, -40.0800, 150.00, 5.030
1951, 11, 4, 20, 22, 59.000, 176.2100, -38.2300, 287.00, 4.347
1951, 11, 14, 15, 33, 28.000, 175.0300, -39.2200, 199.00, 4.404
