year, month, day, lon, lat, dep, mag, isslab
1952, 5, 24, 176.4700, -37.1900, 279.0000, 3.907, 1
1952, 5, 30, 175.8700, -38.5800, 53.0000, 3.272, 0
1952, 6, 2, 173.5500, -41.3900, 65.0000, 3.754, 0
1952, 6, 18, 176.8400, -36.4700, 213.0000, 3.911, 1
1952, 6, 25, 177.7600, -38.3400, 95.0000, 3.937, 1
1952, 6, 30, 174.1100, -39.9400, 208.0000, 3.005, 1
1952, 7, 1, 176.7100, -37.5600, 250.0000, 3.772, 1
1952, 7, 8, 178.8000, -38.0700, 131.0000, 3.800, 1
1952, 7, 9, 173.4700, -40.9400, 116.0000, 3.224, 1
1952, 7, 9, 175.7500, -38.6400, 200.0000, 4.758, 1
1952, 7, 14, 174.9400, -39.0900, 217.0000, 3.392, 1
1952, 7, 15, 176.9600, -37.9100, 167.0000, 4.327, 1
1952, 7, 16, 172.7600, -41.3300, 136.0000, 4.197, 1
1952, 8, 2, 179.3300, -37.0000, 176.0000, 3.795, 1
1952, 8, 7, 179.1100, -36.9600, 164.0000, 3.926, 1
1952, 8, 13, 175.4400, -38.6000, 151.0000, 3.447, 1
1952, 8, 13, 175.5200, -38.6300, 166.0000, 3.666, 1
1952, 9, 2, 174.1600, -40.1300, 94.0000, 3.583, 1
1952, 9, 5, 176.3700, -38.1700, 167.0000, 3.868, 1
1952, 9, 14, 174.2100, -39.7000, 198.0000, 3.437, 1
1952, 9, 16, 175.5800, -39.0000, 150.0000, 3.347, 1
1952, 9, 16, 176.6600, -37.9500, 186.0000, 3.364, 1
1952, 9, 26, 175.0900, -39.1500, 207.0000, 3.518, 1
1952, 9, 26, 176.0900, -38.4700, 168.0000, 3.406, 1
1952, 9, 28, 174.0700, -39.9400, 154.0000, 4.409, 1
1952, 9, 29, 175.5800, -38.5700, 181.0000, 4.395, 1
1952, 10, 3, 174.0500, -40.5600, 97.0000, 3.372, 1
1952, 10, 15, 175.8100, -37.8500, 268.0000, 3.627, 1
1952, 10, 24, 172.8900, -41.4400, 112.0000, 3.336, 1
1952, 11, 2, 176.1400, -38.4800, 159.0000, 3.785, 1
1952, 11, 7, 172.8100, -41.4300, 86.0000, 3.806, 1
1952, 11, 13, 174.2800, -40.4500, 127.0000, 3.300, 1
1952, 11, 13, 173.2900, -40.2100, 157.0000, 3.484, 1
1952, 12, 3, 179.6200, -36.7900, 150.0000, 3.806, 1
1952, 12, 11, 177.5400, -37.7300, 114.0000, 3.994, 1
1952, 12, 13, 176.8600, -37.9300, 172.0000, 3.958, 1
1952, 12, 15, 174.3800, -40.5400, 85.0000, 3.859, 1
1952, 12, 30, 173.3400, -40.5800, 151.0000, 3.549, 1
1953, 1, 6, 177.5600, -39.0000, 65.0000, 3.193, 1
1953, 1, 7, 177.7900, -37.3500, 145.0000, 3.818, 1
1953, 1, 9, 173.6300, -41.1700, 68.0000, 3.849, 0
1953, 1, 10, 177.2500, -38.2700, 112.0000, 3.642, 1
1953, 1, 16, 177.7100, -37.7300, 71.0000, 4.045, 1
1953, 1, 18, 176.1900, -38.5700, 127.0000, 3.810, 1
1953, 1, 31, 173.1100, -41.3400, 99.0000, 3.367, 1
1953, 2, 3, 174.1300, -41.3900, 60.0000, 3.256, 1
1953, 2, 10, 176.5800, -38.2100, 164.0000, 3.212, 1
1953, 2, 16, 178.6300, -38.4100, 126.0000, 3.812, 1
1953, 2, 19, 174.1200, -40.0400, 139.0000, 3.373, 1
1953, 2, 20, 175.3300, -41.2000, 48.0000, 3.284, 1
1953, 2, 20, 177.7800, -37.3300, 153.0000, 3.901, 1
1953, 2, 25, 175.3400, -39.3500, 123.0000, 3.259, 1
1953, 3, 13, 175.2000, -38.5500, 182.0000, 3.475, 1
1953, 3, 20, 179.0500, -37.7600, 145.0000, 3.665, 1
1953, 3, 24, 175.1100, -39.0400, 189.0000, 3.255, 1
1953, 3, 25, 175.5300, -40.9000, 47.0000, 3.185, 1
1953, 3, 26, 177.2200, -37.9400, 77.0000, 3.368, 0
1953, 3, 31, 175.7500, -39.2500, 65.0000, 3.550, 0
1953, 4, 11, 174.7800, -40.4500, 106.0000, 4.829, 1
1953, 4, 11, 174.8100, -40.3600, 55.0000, 3.574, 0
1953, 4, 23, 175.9200, -38.9200, 108.0000, 3.498, 1
1953, 4, 27, 174.7900, -39.1900, 200.0000, 3.585, 1
1953, 4, 27, 176.1200, -38.1500, 216.0000, 4.312, 1
1953, 5, 6, 177.6500, -37.0700, 193.0000, 3.449, 1
1953, 5, 11, 174.1700, -39.6600, 190.0000, 4.425, 1
1953, 5, 12, 177.8600, -36.8900, 256.0000, 4.574, 1
1953, 5, 26, 176.3100, -37.7600, 315.0000, 4.484, 1
1953, 6, 7, 176.0500, -38.3900, 160.0000, 4.292, 1
1953, 6, 8, 173.5600, -40.2000, 195.0000, 4.056, 1
1953, 6, 8, 173.5700, -40.2700, 174.0000, 5.027, 1
1953, 7, 11, 172.8700, -41.1700, 180.0000, 3.888, 1
1953, 7, 12, 175.3600, -39.1200, 149.0000, 3.197, 1
1953, 7, 25, 177.0600, -37.6800, 172.0000, 3.907, 1
1953, 8, 18, 175.8500, -39.1000, 62.0000, 3.812, 0
