clon,clat,cdep,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
178.4756,-34.6033,235.924,178.5202,-34.5743,230.451,178.4857,-34.6562,232.478,178.4311,-34.6323,241.544,178.4653,-34.5503,239.221
178.4217,-34.5794,244.872,178.4653,-34.5503,239.221,178.4311,-34.6323,241.544,178.3778,-34.6087,250.729,178.4126,-34.5265,247.993
178.3694,-34.5559,253.807,178.4126,-34.5265,247.993,178.3778,-34.6087,250.729,178.3254,-34.5856,259.849,178.3618,-34.5028,256.656
178.3178,-34.5328,262.474,178.3618,-34.5028,256.656,178.3254,-34.5856,259.849,178.2733,-34.5632,268.473,178.3109,-34.4797,264.918
178.2672,-34.5101,270.268,178.3109,-34.4797,264.918,178.2733,-34.5632,268.473,178.2232,-34.5407,275.588,178.2614,-34.4569,272.092
178.2187,-34.4872,276.530,178.2614,-34.4569,272.092,178.2232,-34.5407,275.588,178.1755,-34.5177,280.888,178.2149,-34.4336,277.554
178.1719,-34.4642,281.506,178.2149,-34.4336,277.554,178.1755,-34.5177,280.888,178.1280,-34.4951,285.430,178.1693,-34.4104,282.154
178.1254,-34.4415,285.886,178.1693,-34.4104,282.154,178.1280,-34.4951,285.430,178.0806,-34.4730,289.593,178.1237,-34.3876,286.369
178.0789,-34.4192,289.944,178.1237,-34.3876,286.369,178.0806,-34.4730,289.593,178.0335,-34.4512,293.490,178.0780,-34.3652,290.324
178.0327,-34.3973,293.765,178.0780,-34.3652,290.324,178.0335,-34.4512,293.490,177.9868,-34.4297,297.175,178.0324,-34.3431,294.069
177.9867,-34.3757,297.389,178.0324,-34.3431,294.069,177.9868,-34.4297,297.175,177.9406,-34.4084,300.679,177.9871,-34.3214,297.634
177.9412,-34.3543,300.844,177.9871,-34.3214,297.634,177.9406,-34.4084,300.679,177.8950,-34.3874,304.025,177.9420,-34.3000,301.039
177.8961,-34.3333,304.149,177.9420,-34.3000,301.039,177.8950,-34.3874,304.025,177.8499,-34.3667,307.229,177.8974,-34.2789,304.302
177.8514,-34.3125,307.317,177.8974,-34.2789,304.302,177.8499,-34.3667,307.229,177.8053,-34.3462,310.304,177.8532,-34.2581,307.435
